302,25
221,19
191,19
256,23
1324,124
1948,205
2073,223
2201,222
2256,232
2006,196
1826,219
1435,158
1340,159
1253,129
1470,162
1373,167
1669,258
1428,177
1469,205
1320,147
1243,136
1240,132
1198,127
1211,150
1147,130
1227,144
1363,176
1391,168
1311,152
1452,188
1411,155
1295,142
1291,136
1361,154
1288,150
1290,142
1245,145
1174,137
1201,135
1319,131
1424,133
1422,119
1485,133
1407,136
1327,138
1117,123
1129,129
1126,126
1106,144
1147,118
1281,124
1324,156
1571,177
1500,165
1453,155
1643,167
2124,166
2021,253
1886,242
1809,257
1498,198
1517,178
1561,177
1350,162
1349,153
1240,154
1194,127
1402,145
1315,136
1373,150
1259,150
1173,139
1298,149
1246,142
1404,177
1260,135
1367,157
1556,184
1817,195
1842,221
1760,217
1723,231
1741,276
1555,241
1597,210
1441,174
1384,182
1136,134
1180,124
1095,127
1370,166
1913,241
1456,193
1058,137
1025,133
1135,135
1140,132
1037,128
929,123
968,121
1152,143
1060,149
1241,162
1388,191
1513,229
1371,204
1173,205
1284,260
1239,208
1138,192
936,135
1021,159
1040,172
1059,167
1056,195
1046,175
1155,230
1136,192
1017,148
1150,190
1126,174
1090,157
1015,137
1098,148
1137,166
1162,182
1060,145
1086,141
1149,159
1118,171
1141,184
1139,173
1109,166
1041,152
1182,155
1146,175
1101,164
1065,137
1074,148
1083,189
1114,159
1122,146
1059,125
947,108
959,112
1096,143
1269,182
1095,147
965,122
1003,147
1087,157
1335,190
1477,281
1509,212
1363,195
1320,203
1359,199
1278,189
1075,148
1014,149
1005,155
1131,218
983,149
999,156
1015,136
956,134
921,117
981,127
900,103
997,139
1001,162
968,142
972,155
1012,155
917,135
937,125
988,168
886,123
928,133
929,148
936,162
902,168
887,137
943,159
974,168
942,164
901,151
890,124
919,115
1001,141
887,122
907,119
941,131
1099,242
957,152
936,135
947,136
975,123
903,126
910,130
910,138
912,130
850,118
864,116
935,124
938,106
944,114
914,122
935,167
1061,229
952,175
856,110
885,128
842,114
935,141
831,113
823,105
804,111
845,126
1371,449
849,121
869,135
1037,231
866,134
876,138
854,128
833,124
921,122
875,105
