,dBAS,PM25,PM10
2018-04-13 12:33:19,57.7591666667,1477,281
2018-04-13 12:34:19,58.7914791667,1509,212
2018-04-13 12:35:19,59.2805416667,1363,195
2018-04-13 12:36:19,58.6063541667,1320,203
2018-04-13 12:37:19,57.9290625,1359,199
2018-04-13 12:38:19,60.3598541667,1278,189
2018-04-13 12:39:19,56.8598125,1075,148
2018-04-13 12:40:19,56.9545208333,1014,149
2018-04-13 12:41:19,56.5588541667,1005,155
2018-04-13 12:42:19,57.5751041667,1131,218
2018-04-13 12:43:19,58.0934237996,983,149
2018-04-13 12:44:19,66.0990833333,999,156
2018-04-13 12:45:19,74.3245416667,1015,136
2018-04-13 12:46:19,75.6613333333,956,134
2018-04-13 12:47:19,73.3711875,921,117
2018-04-13 12:48:19,69.3985208333,981,127
2018-04-13 12:49:19,68.3416041667,900,103
2018-04-13 12:50:19,68.8883541667,997,139
2018-04-13 12:51:19,68.5053333333,1001,162
2018-04-13 12:52:19,71.3648125,968,142
2018-04-13 12:53:19,73.9390416667,972,155
2018-04-13 12:54:19,75.8417291667,1012,155
2018-04-13 12:55:19,69.8842916667,917,135
2018-04-13 12:56:19,67.85025,937,125
2018-04-13 12:57:19,66.7193333333,988,168
2018-04-13 12:58:19,67.3973695198,886,123
2018-04-13 12:59:19,66.9479375,928,133
2018-04-13 13:00:19,66.8499375,929,148
2018-04-13 13:01:19,66.4110625,936,162
2018-04-13 13:02:19,67.2515833333,902,168
2018-04-13 13:03:19,60.1577708333,887,137
2018-04-13 13:04:19,58.9262083333,943,159
2018-04-13 13:05:19,58.2711041667,974,168
2018-04-13 13:06:19,59.0228541667,942,164
2018-04-13 13:07:19,66.2352291667,901,151
2018-04-13 13:08:19,74.115125,890,124
2018-04-13 13:09:19,73.183125,919,115
2018-04-13 13:10:19,70.982875,1001,141
2018-04-13 13:11:19,70.3977291667,887,122
2018-04-13 13:12:19,68.5396041667,907,119
2018-04-13 13:13:19,68.3710416667,941,131
2018-04-13 13:14:19,69.7249895616,1099,242
2018-04-13 13:15:19,68.5531666667,957,152
2018-04-13 13:16:19,69.1862708333,936,135
2018-04-13 13:17:19,69.293875,947,136
2018-04-13 13:18:19,69.282,975,123
2018-04-13 13:19:19,70.3507083333,903,126
2018-04-13 13:20:19,70.1328333333,910,130
2018-04-13 13:21:19,67.6496458333,910,138
2018-04-13 13:22:19,68.7200208333,912,130
2018-04-13 13:23:19,67.2547916667,850,118
2018-04-13 13:24:19,69.0431666667,864,116
2018-04-13 13:25:19,67.7106041667,935,124
2018-04-13 13:26:19,67.0375,938,106
2018-04-13 13:27:19,68.2039166667,944,114
2018-04-13 13:28:19,67.6629583333,914,122
2018-04-13 13:29:19,69.0749791667,935,167
2018-04-13 13:30:19,69.8272025052,1061,229
2018-04-13 13:31:19,68.8118125,952,175
2018-04-13 13:32:19,68.45775,856,110
2018-04-13 13:33:19,74.3378541667,885,128
2018-04-13 13:34:19,71.8086666667,842,114
2018-04-13 13:35:19,75.3827916667,935,141
2018-04-13 13:36:19,75.5640833333,831,113
2018-04-13 13:37:19,72.4190208333,823,105
2018-04-13 13:38:19,70.28225,804,111
2018-04-13 13:39:19,68.9780208333,845,126
2018-04-13 13:40:19,68.5864375,1371,449
2018-04-13 13:41:19,68.1346041667,849,121
2018-04-13 13:42:19,67.6252708333,869,135
2018-04-13 13:43:19,67.7050416667,1037,231
2018-04-13 13:44:19,69.8756666667,866,134
2018-04-13 13:45:19,69.9516666667,876,138
2018-04-13 13:46:19,68.2619415449,854,128
2018-04-13 13:47:19,71.117125,833,124
2018-04-13 13:48:19,68.1672291667,921,122
2018-04-13 13:49:19,68.3538938053,875,105
